yearInt,Month,Quarter,value,PerMEDCPI,YEAR,MCPISM4,MCPISM8,MCPISMw_2,MCPISMw_8
1947,3,1,13.3,,1947.166667,,,,
1947,6,1,13.5,1.504,1947.416667,1.504,1.504,1.504,1.504
1947,9,1,13.7,1.481,1947.666667,1.493,1.493,1.486,1.499
1947,12,1,13.9,1.46,1947.916667,1.482,1.482,1.465,1.491
1948,3,1,14.1,1.439,1948.166667,1.471,1.471,1.444,1.481
1948,6,1,14.4,2.128,1948.416667,1.633,1.602,1.991,1.61
1948,9,1,14.5,0.694,1948.666667,1.441,1.451,0.954,1.427
1948,12,1,14.7,1.379,1948.916667,1.426,1.441,1.294,1.418
1949,3,1,14.8,0.68,1949.166667,1.064,1.346,0.803,1.27
1949,6,1,14.8,0,1949.416667,0.891,1.161,0.161,1.016
1949,9,1,14.9,0.676,1949.666667,0.715,1.062,0.573,0.948
1949,12,1,14.9,0,1949.916667,0.545,0.883,0.115,0.758
1950,3,1,14.9,0,1950.166667,0.545,0.617,0.023,0.607
1950,6,1,15,0.671,1950.416667,0.544,0.614,0.541,0.62
1950,9,1,15.2,1.333,1950.666667,0.877,0.608,1.175,0.762
1950,12,1,15.4,1.316,1950.916667,1.206,0.687,1.288,0.873
1951,3,1,15.7,1.948,1951.166667,1.525,0.931,1.816,1.088
1951,6,1,15.8,0.637,1951.416667,1.351,0.926,0.873,0.998
1951,9,1,15.9,0.633,1951.666667,1.18,1.005,0.681,0.925
1951,12,1,16.3,2.516,1951.916667,1.322,1.32,2.149,1.243
1952,3,1,16.5,1.227,1952.166667,1.47,1.389,1.411,1.24
1952,6,1,16.8,1.818,1952.416667,1.766,1.45,1.737,1.355
1952,9,1,16.9,0.595,1952.666667,1.286,1.36,0.824,1.203
1952,12,1,17,0.592,1952.916667,1.127,1.19,0.638,1.081
1953,3,1,17,0,1953.166667,0.673,1.111,0.128,0.865
1953,6,1,17.3,1.765,1953.416667,0.965,1.252,1.437,1.045
1953,9,1,17.5,1.156,1953.666667,1.106,1.082,1.212,1.067
1953,12,1,17.6,0.571,1953.916667,1.249,1,0.7,0.968
1954,3,1,17.7,0.568,1954.166667,0.95,0.844,0.594,0.888
1954,6,1,17.8,0.565,1954.416667,0.802,0.84,0.571,0.823
1954,9,1,17.9,0.562,1954.666667,0.8,0.836,0.564,0.771
1954,12,1,18,0.559,1954.916667,0.797,0.906,0.56,0.729
1955,3,1,18.1,0.556,1955.166667,0.795,0.755,0.556,0.694
1955,6,1,18.2,0.552,1955.416667,0.793,0.68,0.553,0.666
1955,9,1,18.3,0.549,1955.666667,0.79,0.677,0.55,0.642
1955,12,1,18.6,1.639,1955.916667,1.061,0.811,1.422,0.842
1956,3,1,18.7,0.538,1956.166667,1.058,0.807,0.714,0.781
1956,6,1,18.8,0.535,1956.416667,1.054,0.804,0.571,0.732
1956,9,1,19.1,1.596,1956.666667,1.043,0.934,1.391,0.905
1956,12,1,19.2,0.524,1956.916667,1.039,0.93,0.697,0.828
1957,3,1,19.4,1.042,1957.166667,1.166,0.991,0.973,0.871
1957,6,1,19.7,1.546,1957.416667,1.154,1.115,1.432,1.006
1957,9,1,19.8,0.508,1957.666667,1.15,0.974,0.692,0.906
1957,12,1,20.1,1.515,1957.916667,1.268,1.096,1.351,1.028
1958,3,1,20.3,0.995,1958.166667,1.13,1.154,1.066,1.022
1958,6,1,20.6,1.478,1958.416667,1.373,1.139,1.395,1.113
1958,9,1,20.9,1.456,1958.666667,1.358,1.255,1.444,1.181
1958,12,1,21.1,0.957,1958.916667,1.349,1.245,1.054,1.137
1959,3,1,21.3,0.948,1959.166667,1.216,1.17,0.969,1.099
1959,6,1,21.5,0.939,1959.416667,1.087,1.224,0.945,1.067
1959,9,1,21.7,0.93,1959.666667,1.08,1.151,0.933,1.04
1959,12,1,21.8,0.461,1959.916667,0.958,1.084,0.555,0.924
1960,3,1,22.1,1.376,1960.166667,1.068,1.071,1.212,1.014
1960,6,1,22.2,0.452,1960.416667,0.948,0.946,0.604,0.902
1960,9,1,22.4,0.901,1960.666667,1.058,0.939,0.842,0.902
1960,12,1,22.6,0.893,1960.916667,0.938,0.932,0.883,0.9
1961,3,1,22.7,0.442,1961.166667,0.935,0.87,0.531,0.808
1961,6,1,22.9,0.881,1961.416667,0.93,0.864,0.811,0.823
1961,9,1,23.1,0.873,1961.666667,0.925,0.915,0.861,0.833
1961,12,1,23.2,0.433,1961.916667,0.923,0.797,0.518,0.753
1962,3,1,23.4,0.862,1962.166667,0.918,0.849,0.793,0.775
1962,6,1,23.5,0.427,1962.416667,0.807,0.789,0.501,0.705
1962,9,1,23.6,0.426,1962.666667,0.805,0.731,0.441,0.649
1962,12,1,23.8,0.847,1962.916667,0.801,0.782,0.766,0.689
1963,3,1,23.9,0.42,1963.166667,0.799,0.724,0.489,0.635
1963,6,1,24.1,0.837,1963.416667,0.902,0.72,0.767,0.676
1963,9,1,24.2,0.415,1963.666667,0.794,0.717,0.485,0.623
1963,12,1,24.3,0.413,1963.916667,0.792,0.661,0.428,0.581
1964,3,1,24.4,0.412,1964.166667,0.686,0.659,0.415,0.547
1964,6,1,24.6,0.82,1964.416667,0.787,0.708,0.739,0.602
1964,9,1,24.7,0.407,1964.666667,0.785,0.653,0.473,0.563
1964,12,1,24.8,0.405,1964.916667,0.784,0.651,0.418,0.531
1965,3,1,25,0.806,1965.166667,0.78,0.648,0.729,0.586
1965,6,1,25.1,0.4,1965.416667,0.779,0.646,0.466,0.549
1965,9,1,25.3,0.797,1965.666667,0.877,0.694,0.731,0.599
1965,12,1,25.5,0.791,1965.916667,0.873,0.741,0.779,0.637
1966,3,1,25.8,1.176,1966.166667,1.067,0.786,1.097,0.745
1966,6,1,26.1,1.163,1966.416667,1.158,0.88,1.15,0.828
1966,9,1,26.7,2.299,1966.666667,1.535,1.117,2.069,1.123
1966,12,1,27.2,1.873,1966.916667,1.71,1.25,1.912,1.273
1967,3,1,27.6,1.471,1967.166667,1.786,1.384,1.559,1.312
1967,6,1,28.1,1.812,1967.416667,1.665,1.511,1.761,1.412
1967,9,1,28.5,1.423,1967.666667,1.552,1.59,1.491,1.414
1967,12,1,29,1.754,1967.916667,1.623,1.662,1.702,1.482
1968,3,1,29.4,1.379,1968.166667,1.515,1.689,1.444,1.462
1968,6,1,29.7,1.02,1968.416667,1.414,1.53,1.105,1.373
1968,9,1,30.2,1.684,1968.666667,1.397,1.506,1.568,1.435
1968,12,1,30.8,1.987,1968.916667,1.549,1.57,1.903,1.546
1969,3,1,31.4,1.948,1969.166667,1.781,1.587,1.939,1.626
1969,6,1,31.9,1.592,1969.416667,1.758,1.609,1.662,1.619
1969,9,1,32.5,1.881,1969.666667,1.731,1.624,1.837,1.672
1969,12,1,32.6,0.308,1969.916667,1.321,1.49,0.614,1.399
1970,3,1,33.2,1.84,1970.166667,1.383,1.593,1.595,1.487
1970,6,1,33.9,2.108,1970.416667,1.44,1.646,2.006,1.611
1970,9,1,34.5,1.77,1970.666667,1.806,1.619,1.817,1.643
1970,12,1,35.1,1.739,1970.916667,1.78,1.593,1.755,1.662
1971,3,1,35.6,1.425,1971.166667,1.609,1.572,1.491,1.615
1971,6,1,36.2,1.685,1971.416667,1.588,1.547,1.646,1.629
1971,9,1,36.7,1.381,1971.666667,1.499,1.682,1.434,1.579
1971,12,1,36.7,0,1971.916667,1.143,1.452,0.287,1.263
1972,3,1,37,0.817,1972.166667,0.926,1.29,0.711,1.174
1972,6,1,37.3,0.811,1972.416667,0.783,1.17,0.791,1.102
1972,9,1,37.4,0.268,1972.666667,0.85,0.986,0.373,0.935
1972,12,1,37.9,1.337,1972.916667,0.98,0.975,1.144,1.015
1973,3,1,38.2,0.792,1973.166667,0.975,0.864,0.862,0.971
1973,6,1,38.6,1.047,1973.416667,1.17,0.822,1.01,0.986
1973,9,1,38.9,0.777,1973.666667,1.03,0.919,0.824,0.944
1973,12,1,39.9,2.571,1973.916667,1.475,1.138,2.221,1.269
1974,3,1,40.7,2.005,1974.166667,1.714,1.288,2.048,1.417
1974,6,1,42.1,3.44,1974.416667,2.38,1.684,3.161,1.821
1974,9,1,43.7,3.8,1974.666667,2.687,1.992,3.673,2.217
1974,12,1,44.8,2.517,1974.916667,2.815,2.208,2.748,2.277
1975,3,1,46.3,3.348,1975.166667,2.792,2.495,3.228,2.491
1975,6,1,47.4,2.376,1975.416667,2.436,2.695,2.546,2.468
1975,9,1,48.5,2.321,1975.666667,2.387,2.664,2.366,2.439
1975,12,1,49.3,1.649,1975.916667,1.962,2.619,1.793,2.281
1976,3,1,50.7,2.84,1976.166667,2.078,2.544,2.63,2.393
1976,6,1,51.8,2.17,1976.416667,2.041,2.341,2.262,2.348
1976,9,1,53,2.317,1976.666667,2.207,2.315,2.306,2.342
1976,12,1,54.2,2.264,1976.916667,2.064,2.18,2.272,2.326
1977,3,1,55.5,2.399,1977.166667,2.121,2.183,2.373,2.341
1977,6,1,57,2.703,1977.416667,2.217,2.231,2.637,2.413
1977,9,1,58.2,2.105,1977.666667,2.178,2.288,2.212,2.352
1977,12,1,59,1.375,1977.916667,1.922,2.104,1.542,2.156
1978,3,1,60.2,2.034,1978.166667,1.754,2.087,1.936,2.132
1978,6,1,61.5,2.159,1978.416667,1.768,2.068,2.115,2.137
1978,9,1,62.8,2.114,1978.666667,1.953,2.049,2.114,2.133
1978,12,1,64.1,2.07,1978.916667,1.962,2.008,2.079,2.12
1979,3,1,65.7,2.496,1979.166667,2.046,1.982,2.413,2.195
1979,6,1,67.1,2.131,1979.416667,2.05,1.985,2.187,2.182
1979,9,1,68.7,2.385,1979.666667,2.129,2.112,2.345,2.223
1979,12,1,70.6,2.766,1979.916667,2.196,2.203,2.682,2.331
1980,3,1,73,3.399,1980.166667,2.513,2.358,3.256,2.545
1980,6,1,74.7,2.329,1980.416667,2.499,2.385,2.514,2.502
1980,9,1,76.3,2.142,1980.666667,2.343,2.394,2.216,2.43
1980,12,1,77.8,1.966,1980.916667,1.985,2.328,2.016,2.337
1981,3,1,79.9,2.699,1981.166667,2.078,2.399,2.563,2.409
1981,6,1,82.3,3.004,1981.416667,2.293,2.476,2.916,2.528
1981,9,1,85.1,3.402,1981.666667,2.652,2.556,3.305,2.703
1981,12,1,87.5,2.82,1981.916667,2.682,2.483,2.917,2.727
1982,3,1,89.6,2.4,1982.166667,2.532,2.492,2.503,2.661
1982,6,1,92.2,2.902,1982.416667,2.406,2.587,2.822,2.709
1982,9,1,94.7,2.711,1982.666667,2.379,2.68,2.734,2.71
1982,12,1,97.2,2.64,1982.916667,2.439,2.673,2.659,2.696
1983,3,1,99,1.852,1983.166667,2.177,2.529,2.013,2.527
1983,6,1,100.4,1.414,1983.416667,1.852,2.28,1.534,2.304
1983,9,1,101.8,1.394,1983.666667,1.541,2.102,1.422,2.122
1983,12,1,103.4,1.572,1983.916667,1.471,1.999,1.542,2.012
1984,3,1,105.2,1.741,1984.166667,1.553,1.854,1.701,1.958
1984,6,1,106.7,1.426,1984.416667,1.561,1.693,1.481,1.852
1984,9,1,108.1,1.312,1984.666667,1.496,1.527,1.346,1.744
1984,12,1,109.8,1.573,1984.916667,1.454,1.492,1.527,1.709
1985,3,1,111.4,1.457,1985.166667,1.461,1.497,1.471,1.659
1985,6,1,113.3,1.706,1985.416667,1.56,1.536,1.659,1.668
1985,9,1,115.2,1.677,1985.666667,1.586,1.549,1.673,1.67
1985,12,1,117.1,1.649,1985.916667,1.634,1.538,1.654,1.666
1986,3,1,119.7,2.22,1986.166667,1.763,1.637,2.107,1.777
1986,6,1,121.8,1.754,1986.416667,1.782,1.693,1.825,1.772
1986,9,1,124,1.806,1986.666667,1.821,1.722,1.81,1.779
1986,12,1,126.2,1.774,1986.916667,1.71,1.761,1.781,1.778
1987,3,1,127.8,1.268,1987.166667,1.588,1.707,1.371,1.676
1987,6,1,130,1.721,1987.416667,1.567,1.712,1.651,1.685
1987,9,1,131.9,1.462,1987.666667,1.489,1.689,1.499,1.64
1987,12,1,133.5,1.213,1987.916667,1.475,1.563,1.27,1.555
1988,3,1,135.8,1.723,1988.166667,1.475,1.559,1.632,1.589
1988,6,1,138.3,1.841,1988.416667,1.57,1.563,1.799,1.639
1988,9,1,140.5,1.591,1988.666667,1.665,1.54,1.632,1.629
1988,12,1,142.7,1.566,1988.916667,1.625,1.578,1.579,1.617
1989,3,1,145.8,2.172,1989.166667,1.708,1.634,2.054,1.728
1989,6,1,148.6,1.92,1989.416667,1.791,1.691,1.947,1.766
1989,9,1,151.8,2.153,1989.666667,1.938,1.809,2.112,1.844
1989,12,1,154.9,2.042,1989.916667,1.905,1.849,2.056,1.883
1990,3,1,158.3,2.195,1990.166667,1.974,1.893,2.167,1.946
1990,6,1,162,2.337,1990.416667,2.02,1.986,2.303,2.024
1990,9,1,165.9,2.407,1990.666667,2.111,2.091,2.387,2.101
1990,12,1,169.8,2.351,1990.916667,2.15,2.114,2.358,2.151
1991,3,1,173.2,2.002,1991.166667,2.066,2.124,2.073,2.121
1991,6,1,176.4,1.848,1991.416667,1.926,2.086,1.893,2.066
1991,9,1,179.9,1.984,1991.666667,1.834,2.079,1.966,2.05
1991,12,1,183.1,1.779,1991.916667,1.779,2.027,1.816,1.996
1992,3,1,186.8,2.021,1992.166667,1.822,1.987,1.98,2.001
1992,6,1,189.6,1.499,1992.416667,1.701,1.873,1.595,1.9
1992,9,1,192.4,1.477,1992.666667,1.625,1.764,1.5,1.816
1992,12,1,195.3,1.507,1992.916667,1.497,1.702,1.506,1.754
1993,3,1,198.1,1.434,1993.166667,1.48,1.651,1.448,1.69
1993,6,1,201.3,1.615,1993.416667,1.515,1.604,1.582,1.675
1993,9,1,203.6,1.143,1993.666667,1.424,1.525,1.23,1.569
1993,12,1,205.8,1.081,1993.916667,1.336,1.407,1.111,1.471
1994,3,1,207.9,1.02,1994.166667,1.187,1.348,1.038,1.381
1994,6,1,210.5,1.251,1994.416667,1.214,1.319,1.208,1.355
1994,9,1,213.1,1.235,1994.666667,1.252,1.285,1.23,1.331
1994,12,1,215.9,1.314,1994.916667,1.326,1.27,1.297,1.327
1995,3,1,218.1,1.019,1995.166667,1.268,1.196,1.075,1.266
1995,6,1,219.9,0.825,1995.416667,1.165,1.156,0.875,1.178
1995,9,1,222.4,1.137,1995.666667,1.121,1.163,1.085,1.17
1995,12,1,224.3,0.854,1995.916667,1.08,1.142,0.9,1.106
1996,3,1,226.2,0.847,1996.166667,1.086,1.092,0.858,1.055
1996,6,1,228,0.796,1996.416667,1,1.037,0.808,1.003
1996,9,1,229.7,0.746,1996.666667,0.973,0.966,0.758,0.951
1996,12,1,231.2,0.653,1996.916667,0.925,0.92,0.674,0.892
1997,3,1,233,0.779,1997.166667,0.92,0.914,0.758,0.869
1997,6,1,234.4,0.601,1997.416667,0.884,0.847,0.632,0.815
1997,9,1,235.5,0.469,1997.666667,0.838,0.799,0.502,0.746
1997,12,1,237.8,0.977,1997.916667,0.888,0.815,0.882,0.792
1998,3,1,239.4,0.673,1998.166667,0.906,0.8,0.715,0.768
1998,6,1,241.8,1.003,1998.416667,1.039,0.832,0.945,0.815
1998,9,1,244.1,0.951,1998.666667,1.033,0.869,0.95,0.842
1998,12,1,245.9,0.737,1998.916667,1.049,0.864,0.78,0.821
1999,3,1,247.9,0.813,1999.166667,1.001,0.891,0.807,0.82
1999,6,1,250,0.847,1999.416667,0.975,0.938,0.839,0.825
1999,9,1,252.5,1,1999.666667,1.041,0.941,0.968,0.86
1999,12,1,254.9,0.95,1999.916667,1.075,0.976,0.954,0.878
2000,3,1,257.7,1.098,2000.166667,1.138,0.988,1.07,0.922
2000,6,1,260.3,1.009,2000.416667,1.14,0.995,1.021,0.94
2000,9,1,263.3,1.153,2000.666667,1.191,1.047,1.126,0.982
2000,12,1,265.6,0.874,2000.916667,1.135,1.054,0.924,0.96
2001,3,1,269.4,1.431,2001.166667,1.24,1.127,1.329,1.055
2001,6,1,272.4,1.114,2001.416667,1.23,1.142,1.157,1.066
2001,9,1,275.2,1.028,2001.666667,1.269,1.151,1.054,1.059
2001,12,1,278.2,1.09,2001.916667,1.184,1.15,1.083,1.065
2002,3,1,281.4,1.15,2002.166667,1.193,1.168,1.137,1.082
2002,6,1,284.6,1.137,2002.416667,1.22,1.166,1.137,1.093
2002,9,1,288.1,1.23,2002.666667,1.255,1.21,1.211,1.12
2002,12,1,292.1,1.388,2002.916667,1.315,1.205,1.353,1.174
2003,3,1,293.4,0.445,2003.166667,1.142,1.122,0.627,1.028
2003,6,1,296.1,0.92,2003.416667,1.064,1.108,0.862,1.007
2003,9,1,299.7,1.216,2003.666667,1.021,1.124,1.145,1.048
2003,12,1,303,1.101,2003.916667,1.185,1.118,1.11,1.059
2004,3,1,306.6,1.188,2004.166667,1.252,1.124,1.172,1.085
2004,6,1,309.8,1.044,2004.416667,1.209,1.101,1.069,1.077
2004,9,1,312.8,0.968,2004.666667,1.176,1.048,0.989,1.055
2004,12,1,315.9,0.991,2004.916667,1.127,1.117,0.991,1.042
2005,3,1,319.7,1.203,2005.166667,1.167,1.152,1.16,1.074
2005,6,1,322.6,0.907,2005.416667,1.151,1.113,0.958,1.041
2005,9,1,325.2,0.806,2005.666667,1.105,1.076,0.836,0.994
2005,12,1,329.5,1.322,2005.916667,1.135,1.093,1.225,1.06
2006,3,1,332.7,0.971,2006.166667,1.151,1.084,1.022,1.042
2006,6,1,335.8,0.932,2006.416667,1.182,1.079,0.95,1.02
2006,9,1,338.9,0.923,2006.666667,1.082,1.071,0.928,1.001
2006,12,1,341.3,0.708,2006.916667,1.017,1.009,0.752,0.942
2007,3,1,345.994,1.375,2007.166667,1.128,1.068,1.251,1.029
