STATE,YEAR,TOT_CHG,COV_CHG,MED_REIB,TOT_D,NUM_DCHG,AVE_T_D,NMSTATE
1,1,2211617271,2170240349,972752944,1932673,230015,8,AL
1,2,2523987347,2468263759,1046016144,1936939,234739,8,AL
1,3,2975969979,2922611694,1205791592,2016354,245027,8,AL
1,4,3194595003,3149745611,1307982985,1948427,243947,8,AL
1,5,3417704863,3384305357,1376211788,1926335,258384,7,AL
1,6,3519375275,3492635576,1466220936,1847216,261738,7,AL
2,1,64747759,62242279,42083051,51923,6636,8,AK
2,2,70600503,67579913,46928596,53051,6940,8,AK
2,3,79428741,76550199,56545125,55191,7646,7,AK
2,4,86246012,84299106,61186949,53329,7610,7,AK
2,5,102223925,99037189,67176460,57672,8229,7,AK
2,6,120791850,117472725,78032690,62699,8940,7,AK
3,1,1383289768,1374105340,757822386,1041898,143096,7,AZ
3,2,1550595128,1536942825,803793774,1029894,142014,7,AZ
3,3,1733592631,1716062864,1053236494,1012724,141404,7,AZ
3,4,1825598787,1806291479,979407958,1026825,138891,7,AZ
3,5,1930534077,1913543120,1155967614,921449,139110,7,AZ
3,6,2077698792,2057819479,887872905,882825,144211,6,AZ
4,1,1034799763,1020252697,543481963,1227307,146888,8,AR
4,2,1207031091,1189168143,663886520,1267630,151291,8,AR
4,3,1359545934,1343197318,719591220,1267359,151716,8,AR
4,4,1376200371,1356393837,702596638,1181400,146745,8,AR
4,5,1501639934,1481812465,746165090,1191862,158095,8,AR
4,6,1541278597,1521832124,769517592,1142475,158283,7,AR
5,1,11265654231,11139079284,5218756976,6432717,849372,8,CA
5,2,13231378196,13019487097,5693007107,6762489,885919,8,CA
5,3,15265191945,15076002113,5976340419,6611724,908593,7,CA
5,4,15762343685,15604563901,6310241944,6173490,894216,7,CA
5,5,16410054592,16221374724,6541840767,5956109,905615,7,CA
5,6,16771706228,16575314237,6557295779,5590243,902479,6,CA
6,1,1004986736,997026197,518737331,845753,102197,8,CO
6,2,1176131999,1163651173,558169832,889535,105890,8,CO
6,3,1363496637,1345896523,630568787,897250,109896,8,CO
6,4,1415371110,1396849063,649936481,813509,108013,8,CO
6,5,1436272318,1417158724,666884869,747808,109960,7,CO
6,6,1396322886,1384108631,676172714,680004,110153,6,CO
7,1,1429601055,1385716754,726293987,1409910,117602,12,CT
7,2,1759633392,1685631817,857693268,1481648,130879,11,CT
7,3,1989265382,1914537444,980357455,1475212,137603,11,CT
7,4,2003848955,1943510735,988357626,1416666,138198,10,CT
7,5,2072565181,2031053220,1062951855,1336636,142865,9,CT
7,6,2116267076,2079572874,1122765339,1160224,144657,8,CT
8,1,273751132,272202165,189268517,256593,26713,10,DE
8,2,319484520,316304967,210843145,261803,27786,9,DE
8,3,357373929,354366782,230535638,256168,29209,9,DE
8,4,400789999,396440450,244346177,261248,29732,9,DE
8,5,420979744,418050975,264113687,263941,30746,9,DE
8,6,409206431,406992344,200886667,235745,30906,8,DE
9,1,649068410,608370414,316203810,448642,36905,12,DC
9,2,715251170,666906850,309434230,422999,37814,11,DC
9,3,802997975,769519759,321717023,421257,38837,11,DC
9,4,856560250,819938588,342982628,417125,38820,11,DC
9,5,904705315,876136956,383687287,409207,40750,10,DC
9,6,878660555,862715381,400017483,365801,41020,9,DC
10,1,6939912152,6830081708,2927389435,5356024,593629,9,FL
10,2,8712410398,8564669744,3579510844,5815902,661784,9,FL
10,3,10069336234,9779941367,3955414344,6021363,705846,9,FL
10,4,10766662969,10637682788,4324750284,5820541,720448,8,FL
10,5,11708135926,11602792058,4668566595,5804208,761704,8,FL
10,6,12215828716,12105950425,4912235674,5528447,771995,7,FL
11,1,2348547801,2306816377,1189306292,2354479,282721,8,GA
11,2,2739751671,2693692373,1387104460,2409142,294117,8,GA
11,3,3139678024,3105318408,1686134947,2465630,306548,8,GA
11,4,3311243447,3274986635,1673883633,2405038,308870,8,GA
11,5,3544183705,3504109814,1744415845,2412228,325106,7,GA
11,6,3672628342,3634256107,1917281218,2325130,330547,7,GA
12,1,319437068,309024724,131385162,287462,27088,11,HI
12,2,389982330,373019823,142922357,333946,28498,12,HI
12,3,482075798,456932774,159911733,364695,29784,12,HI
12,4,542320069,514380924,177107365,437215,29935,15,HI
12,5,631173509,589016539,186208136,382602,32057,12,HI
12,6,646079381,613236821,201444651,326276,33683,10,HI
13,1,205138994,204151459,124333154,207326,32548,6,ID
13,2,235597774,234695750,135672916,208061,33415,6,ID
13,3,263733334,263125171,168430635,210811,34297,6,ID
13,4,289977641,289629997,171690386,204872,35135,6,ID
13,5,310438207,310023576,178581653,206259,37489,6,ID
13,6,327669889,327417850,190132532,196110,37821,5,ID
14,1,4813613112,4762618531,2348678423,4355832,468795,9,IL
14,2,5796249563,5718689318,2636629997,4579008,509157,9,IL
14,3,6691904584,6602479750,2918397509,4655674,531772,9,IL
14,4,7121770267,7054995535,3105306164,4367355,527507,8,IL
14,5,7521714483,7454295831,3257971517,4176638,541684,8,IL
14,6,7801624705,7731744653,3468207715,3903723,543966,7,IL
15,1,2085322454,2021816617,1188980890,2227594,257344,9,IN
15,2,2353224931,2303012310,1278174560,2319909,259143,9,IN
15,3,2716659611,2667235164,1444634083,2387356,270434,9,IN
15,4,2860344116,2814902667,1556960779,2150225,272240,8,IN
15,5,3019648279,2993486795,1587748741,2068898,284346,7,IN
15,6,3057433724,3033912108,1652163509,1924128,282505,7,IN
16,1,963255977,951735063,604184879,1203210,142080,8,IA
16,2,1103058838,1088275834,633201371,1192456,143373,8,IA
16,3,1229213818,1216332106,697481621,1168884,145099,8,IA
16,4,1287521821,1274370470,673967364,1097190,145449,8,IA
16,5,1315739729,1300574743,673506404,1002101,147008,7,IA
16,6,1343896520,1330242146,690654632,942618,147109,6,IA
17,1,915714805,903966651,515384281,977766,118959,8,KS
17,2,1044421922,1029593120,540276281,981500,119657,8,KS
17,3,1183852034,1167974539,614148059,977664,120680,8,KS
17,4,1293851451,1272753052,619527680,985757,121747,8,KS
17,5,1375920179,1358068847,631772372,937967,124988,8,KS
17,6,1447801638,1431831650,671843062,868099,124735,7,KS
18,1,1620854812,1586380645,841296960,1846584,203739,9,KY
18,2,1807797249,1773541872,888926514,1759512,203515,9,KY
18,3,2052354641,2021547803,1000415224,1794000,212644,8,KY
18,4,2128541649,2092629563,1051330460,1730041,212324,8,KY
18,5,2364523167,2333327854,1110112786,1714013,225273,8,KY
18,6,2443098749,2409821213,1172405960,1603163,227773,7,KY
19,1,2023387331,1993020829,1034692610,1805897,219092,8,LA
19,2,2309953908,2267866446,1100619140,1820104,219582,8,LA
19,3,2693294687,2657037104,1286457633,1877412,224576,8,LA
19,4,2889168020,2858339251,1381527662,1837985,225170,8,LA
19,5,3200713291,3165074043,1503799211,1879073,236561,8,LA
19,6,3342545953,3280325943,1609826320,1846068,244274,8,LA
20,1,455610650,439811128,242188373,538654,55303,10,ME
20,2,518586279,500600284,262796354,543930,58487,9,ME
20,3,594482586,579091511,285643344,546325,61964,9,ME
20,4,626636407,611457781,298363783,538345,62386,9,ME
20,5,688332555,677138462,315159395,512041,64373,8,ME
20,6,700633631,696516676,332721258,461821,64512,7,ME
21,1,1251585959,1224232050,1068377934,2643459,182949,14,MD
21,2,1337783548,1296832486,1108492509,1801983,186993,10,MD
21,3,1556117426,1514843549,1315500043,1851416,199888,9,MD
21,4,1706555757,1657067287,1429119872,1898843,202648,9,MD
21,5,1768186027,1705604095,1453492573,1829906,211221,9,MD
21,6,1710390861,1655865855,1410539548,1725456,219443,8,MD
22,1,2928135797,2801472167,1997644853,3684988,298115,12,MA
22,2,3267712370,3112362277,1923591632,3565856,314591,11,MA
22,3,3644164622,3505258444,2225613202,3395161,328677,10,MA
22,4,4032229304,3842390290,2350240176,3667131,335792,11,MA
22,5,4090955989,3959274382,2432178216,3153541,337633,9,MA
22,6,4085916494,3976185303,2546482606,2800171,334662,8,MA
23,1,3889450619,3870082565,2136228255,3388264,369802,9,MI
23,2,4232758834,4209230695,2199805591,3289306,366043,9,MI
23,3,4782304452,4757764521,2487088824,3313151,383695,9,MI
23,4,5133704201,5088697680,2550739550,3269735,395400,8,MI
23,5,5521306388,5466732413,2769006694,3265602,420173,8,MI
23,6,5895359361,5851463647,3205518989,3305794,440133,8,MI
24,1,1312993106,1289049983,802851287,1259185,171591,7,MN
24,2,1506704200,1476806836,888778870,1267013,178570,7,MN
24,3,1686559390,1661171675,1011744454,1254129,185692,7,MN
24,4,1776339937,1746554552,1029198795,1211508,181837,7,MN
24,5,1821463639,1782069075,1011278287,1160074,177390,7,MN
24,6,1961690715,1920502247,1098351559,1174879,180278,7,MN
25,1,899257559,894597847,472357439,1136723,144332,8,MS
25,2,1001945599,994374013,532393803,1132068,144232,8,MS
25,3,1160354901,1151269670,655856710,1188496,150105,8,MS
25,4,1276260291,1265338045,674728791,1180847,151004,8,MS
25,5,1416191802,1406240402,677447257,1198805,159645,8,MS
25,6,1535039595,1527324132,745413402,1181007,165685,7,MS
26,1,2759723321,2730179967,1395951805,2579389,284519,9,MO
26,2,3020469943,2983714353,1436243724,2465150,279345,9,MO
26,3,3476054518,3434502192,1630555275,2459606,288192,9,MO
26,4,3661500873,3617765517,1734138398,2352948,283373,8,MO
26,5,3922144057,3888983887,1811075137,2301724,296896,8,MO
26,6,4046670530,4019191652,1902687237,2155404,303380,7,MO
27,1,262642916,261751795,157207232,266644,40564,7,MT
27,2,301177040,300086157,164184576,265569,40365,7,MT
27,3,333993235,333208315,184341620,257595,40730,6,MT
27,4,347598806,346706129,209649706,247865,40601,6,MT
27,5,367290458,366645907,198340987,238580,40534,6,MT
27,6,381369636,380827252,203823338,228157,40962,6,MT
28,1,566777770,550848374,303159667,595598,70086,8,NE
28,2,655186988,634279759,319735936,594530,69533,9,NE
28,3,725925864,708598742,347730521,569993,70165,8,NE
28,4,746574002,727857103,354353162,581875,67830,9,NE
28,5,760965780,746721401,386777014,514997,70042,7,NE
28,6,784551403,771098357,414753879,485773,71386,7,NE
29,1,611201708,602108215,212690768,333001,38861,9,NV
29,2,723514889,712792061,233824274,348595,41285,8,NV
29,3,806235591,795761714,265259472,357687,44010,8,NV
29,4,893437027,881653585,295587129,371404,45689,8,NV
29,5,1028626530,1018717455,332754603,388846,50502,8,NV
29,6,1109668703,1097164083,345690956,394127,52889,7,NV
30,1,365658750,356765412,189978538,401251,40440,10,NH
30,2,415455698,402475647,209871580,405271,40944,10,NH
30,3,480427614,466204123,241837266,419020,42745,10,NH
30,4,500210413,485646296,249839047,407082,42627,10,NH
30,5,530933617,516194020,282604848,397879,44185,9,NH
30,6,556398934,540797208,307562887,384812,45307,8,NH
31,1,2586491145,2538916656,1797308951,4194835,345201,12,NJ
31,2,3266593951,3178252480,2025965536,4271808,352908,12,NJ
31,3,4341272319,4248456377,2234081811,4486821,371730,12,NJ
31,4,5765437203,5652005678,2466003616,4445821,381109,12,NJ
31,5,6179248765,6051604226,2527578779,4246087,387972,11,NJ
31,6,6635534007,6500420397,2667269585,4072897,397052,10,NJ
32,1,389033701,387805644,209417711,373206,52534,7,NM
32,2,436592523,432700098,224261263,373786,52502,7,NM
32,3,468759071,463563630,238762508,354189,50855,7,NM
32,4,500597593,496245746,249384488,346809,50827,7,NM
32,5,496491376,487502237,243182520,319200,49835,6,NM
32,6,543815008,536909599,264900863,329576,52617,6,NM
33,1,8339452389,7681430499,5223679411,12960518,741496,17,NY
33,2,9104287079,8076129657,5267838077,12723684,743171,17,NY
33,3,10153000116,9001622489,5677439259,12611901,771349,16,NY
33,4,11023144231,9811259559,6206539614,13326072,777718,17,NY
33,5,11911403341,10639552794,6540899244,11479228,797872,14,NY
33,6,12113316204,11101988278,7116527106,10016238,814972,12,NY
34,1,2350773921,2305050319,1239163637,2818932,272176,10,NC
34,2,2759668615,2683440768,1388047248,2901629,279650,10,NC
34,3,3214292632,3140683195,1580779643,2925187,293594,10,NC
34,4,3439131000,3378777503,1663861998,2814252,300211,9,NC
34,5,3705364482,3650352497,1791817199,2757315,318778,9,NC
34,6,3979559829,3933514843,2051903244,2701048,342933,8,NC
35,1,266579317,263919210,174950279,305656,38419,8,ND
35,2,290757390,289493979,176254599,288043,37919,8,ND
35,3,328671102,326899496,187658499,297195,39217,8,ND
35,4,324912430,323721164,205992503,275031,37609,7,ND
35,5,335737667,334015476,200973907,262533,38243,7,ND
35,6,349683750,348011633,209321732,249777,37956,7,ND
36,1,4599123589,4563108284,2878298357,4744395,532126,9,OH
36,2,5037625196,4980891634,2975495886,4618973,530278,9,OH
36,3,5689568571,5650729203,3053622775,4614814,541301,9,OH
36,4,5944926302,5917024877,3245593577,4334878,539938,8,OH
36,5,6320135670,6281862249,3334537841,4215419,564182,7,OH
36,6,6422896840,6372880005,3498028420,3944401,567838,7,OH
37,1,1212477286,1194095199,669576298,1323105,157744,8,OK
37,2,1320598355,1297530626,711297575,1289275,154750,8,OK
37,3,1454609258,1430629840,802659631,1306249,156118,8,OK
37,4,1481833895,1460696417,798833078,1248992,151315,8,OK
37,5,1603629211,1583239252,832803152,1221897,158444,8,OK
37,6,1677290029,1661449544,890287972,1150340,160669,7,OK
38,1,821426628,817526423,467994301,674920,106677,6,OR
38,2,917682594,913484382,491777475,664163,108106,6,OR
38,3,989053475,982712752,550813447,643980,110455,6,OR
38,4,996998559,988595039,540976118,629686,107467,6,OR
38,5,991474754,986918630,520204406,577636,107406,5,OR
38,6,1014571939,1012771584,544009386,545607,106586,5,OR
39,1,8393503833,8306399237,4751912354,7161781,704228,10,PA
39,2,9733867661,9569531237,5244538283,7433409,740115,10,PA
39,3,11295022398,11118306748,5845882459,7570524,770990,10,PA
39,4,12262225934,12074919030,6031359753,7636573,780697,10,PA
39,5,12615775725,12479891093,6421988677,6926504,793117,9,PA
39,6,12654875348,12543714534,5459830613,6286379,792589,8,PA
40,1,331305108,324763537,166873887,707291,94720,7,PR
40,2,388351455,378931010,182669396,746663,99216,8,PR
40,3,436947164,428324007,205358281,780001,102156,8,PR
40,4,473910491,467314339,221089712,790752,103007,8,PR
40,5,520317035,512316064,244319962,792497,105950,7,PR
40,6,585342709,577114597,247208336,844154,114091,7,PR
41,1,385719397,376506448,242207912,539649,47482,11,RI
41,2,443953273,434177067,272712724,541077,49825,11,RI
41,3,516720105,507597985,313123125,543117,52306,10,RI
41,4,537396144,525726141,328631182,644587,51674,12,RI
41,5,583580221,572407001,336561836,562274,51336,11,RI
41,6,612369639,604577247,355253332,423479,52212,8,RI
42,1,1010797558,986833102,493474918,1195416,115865,10,SC
42,2,1359898472,1311899170,576247058,1350815,129746,10,SC
42,3,1665399875,1615078820,698351758,1444547,137811,10,SC
42,4,1799424601,1745164962,735272157,1465881,141895,10,SC
42,5,2014014134,1959893374,838907652,1414368,153145,9,SC
42,6,2142930709,2088876427,921243583,1402883,161728,9,SC
43,1,243279905,241575047,148184329,288080,38897,7,SD
43,2,298835784,296479892,161715952,298532,39905,7,SD
43,3,334062761,332277291,191780015,295231,41378,7,SD
43,4,336927443,335338588,187339834,274961,40879,7,SD
43,5,356056190,354178371,190017254,273111,42440,6,SD
43,6,369423361,368105741,199092552,260965,42405,6,SD
44,1,2475069768,2432249487,1228801821,2522048,293409,9,TN
44,2,2793196720,2729992900,1307962085,2527548,294069,9,TN
44,3,3180989003,3101073638,1468507987,2536497,300960,8,TN
44,4,3353322907,3235063377,1597629166,2436271,298612,8,TN
44,5,3437784349,3414697970,1686245170,2334442,309171,8,TN
44,6,3543002132,3519773009,1814834528,2213685,316552,7,TN
45,1,6128792130,6033559753,3097899624,5289376,617142,9,TX
45,2,7060450448,6950064332,3274138678,5274509,613993,9,TX
45,3,8304492614,8188101378,3606664765,5448035,641525,8,TX
45,4,8924469541,8828338813,4029173467,5323991,641419,8,TX
45,5,9690995067,9602294078,4367680435,5317084,676623,8,TX
45,6,10233024274,10144180528,4741466029,5236804,702139,7,TX
46,1,329917245,329010113,209853399,276917,40967,7,UT
46,2,378943856,377873638,226452778,285220,41502,7,UT
46,3,412826826,411650423,258112700,267790,41992,6,UT
46,4,431432659,430686390,291015125,250032,41950,6,UT
46,5,455114422,454384796,276503006,244270,43146,6,UT
46,6,483728959,482239683,301003005,240892,44724,5,UT
47,1,165530448,161918527,94937276,202703,20526,10,VT
47,2,192723953,187471537,101676399,200523,21226,9,VT
47,3,214538565,209743286,115006377,198121,21874,9,VT
47,4,219764836,214890283,118617530,188310,22148,9,VT
47,5,239653748,236707698,126669541,183419,22816,8,VT
47,6,257195565,252367834,142544222,185122,23578,8,VT
48,1,2104202,1704906,1792992,6208,528,12,VI
48,2,2318522,1527550,1534671,6073,515,12,VI
48,3,3360657,2170646,2120011,8374,653,13,VI
48,4,6108486,4469943,4587798,12172,969,13,VI
48,5,8508894,6993990,5000000,14408,1156,12,VI
48,6,9518585,8942462,6664715,17582,1374,13,VI
49,1,2158997242,2123514206,1070938905,2244836,245009,9,VA
49,2,2472730276,2437105228,1153969361,2225194,250905,9,VA
49,3,2794915693,2760542173,1319746274,2219687,261152,8,VA
49,4,2917556198,2883356311,1389060878,2131955,258908,8,VA
49,5,3173485298,3143791913,1491038692,2130237,275450,8,VA
49,6,3266503937,3237414931,1588102146,2027981,279570,7,VA
50,1,1196444017,1178071333,812418674,1157160,159357,7,WA
50,2,1351411584,1327776443,888980974,1164541,161861,7,WA
50,3,1525564727,1494543707,1022939907,1129730,167351,7,WA
50,4,1572621343,1537625285,1027205891,1092432,164068,7,WA
50,5,1585916210,1538938946,1012201277,1065390,165413,6,WA
50,6,1589316860,1536401700,1055357748,954021,159645,6,WA
51,1,875687069,863282893,447995043,949863,113207,8,WV
51,2,1008226767,995249079,491605183,982059,115988,8,WV
51,3,1105246067,1092895689,591448960,1003544,122607,8,WV
51,4,1115975440,1105045445,597999324,963219,120645,8,WV
51,5,1170955029,1164079567,606060741,959685,126754,8,WV
51,6,1183716362,1176076347,644482260,913219,128735,7,WV
52,1,1525637351,1510349856,1070453411,1764516,221152,8,WI
52,2,1699964508,1682799936,1086544698,1729306,219819,8,WI
52,3,1952854432,1939713575,1226316876,1741047,227444,8,WI
52,4,2109003560,2092492746,1216336216,1681592,224315,7,WI
52,5,2295645717,2277675526,1238262733,1628747,230158,7,WI
52,6,2396682512,2378248414,1301240630,1528418,232546,7,WI
53,1,92283884,91960096,57923126,102056,15410,7,WY
53,2,98583133,98331829,62748790,95413,14992,6,WY
53,3,113432063,113122757,69969045,92292,15027,6,WY
53,4,123606913,123422452,81570449,88569,14814,6,WY
53,5,129302305,129105974,77296070,86993,15755,6,WY
53,6,148433960,148046865,81237509,88543,16316,5,WY
54,1,3800819,3777564,1887631,7146,1028,7,UN
54,2,3970404,3953762,2319992,55913,928,60,UN
54,3,3676137,3637098,2135812,6798,964,7,UN
54,4,4165026,4162603,2704338,7564,1006,8,UN
54,5,5252880,5234140,3837499,8621,1202,7,UN
54,6,6077305,5871154,4057174,8032,1059,8,UN
