PAID_CLM,NPRESCRP,TIME,MONTH,COST_CLM,RATEC_C,SINET,COST,SINE2T,COS2T
992300,68213,1,8,14.54708004,,0.5,0.866025388,0.866025448,0.49999997
1143249,77920,2,9,14.67208672,0.859320164,0.866025448,0.49999997,0.866025388,-0.50000006
935150,63179,3,10,14.80159569,0.882685184,1,-4.37E-08,-8.74E-08,-1
962309,65855,4,11,14.61254311,-1.277244091,0.866025388,-0.50000006,-0.866025448,-0.499999911
1106053,77364,5,12,14.29674053,-2.161175013,0.50000006,-0.866025388,-0.866025448,0.499999911
1043392,72837,6,1,14.32502747,0.197851658,-8.74E-08,-1,1.75E-07,1
1178083,80563,7,2,14.62312698,2.080965042,-0.500000179,-0.866025269,0.866025627,0.499999613
1627172,107502,8,3,15.13620186,3.508651257,-0.866025448,-0.499999911,0.866025269,-0.500000179
1116811,73378,9,4,15.2199707,0.553429127,-1,1.19E-08,-2.38E-08,-1
1277295,81051,10,5,15.75915146,3.542590141,-0.866025448,0.499999911,-0.866025329,-0.500000179
1585927,98674,11,6,16.0723896,1.987659931,-0.499999762,0.866025567,-0.86602515,0.500000477
1165502,72335,12,7,16.11256027,0.249934196,1.75E-07,1,3.50E-07,1
1618570,100019,13,8,16.18262482,0.434839725,0.50000006,0.866025388,0.866025448,0.499999881
1186393,72105,14,9,16.45368576,1.675009727,0.866025627,0.499999613,0.866024971,-0.500000775
1406366,87961,15,10,15.98851776,-2.827137709,1,-3.38E-07,-6.76E-07,-1
1501948,92916,16,11,16.16457939,1.10117197,0.866025269,-0.500000179,-0.866025627,-0.499999583
1478141,88653,17,12,16.67333221,3.1473279,0.499999881,-0.866025448,-0.866025269,0.500000238
1524248,92376,18,1,16.50047684,-1.036715508,-2.38E-08,-1,4.77E-08,1
1789325,106202,19,2,16.8483181,2.108073235,-0.49999994,-0.866025448,0.866025329,0.500000119
1416588,85370,20,3,16.59350967,-1.512366533,-0.866025329,-0.500000179,0.866025567,-0.499999672
1516279,86947,21,4,17.43911743,5.096018314,-1,6.64E-07,-1.33E-06,-1
1855773,103159,22,5,17.98944283,3.155696392,-0.86602515,0.500000477,-0.866025984,-0.499999046
1722487,96752,23,6,17.80311584,-1.035755873,-0.499999613,0.866025627,-0.866024971,0.500000775
1564758,84517,24,7,18.51412201,3.993713856,3.50E-07,1,6.99E-07,1
2129915,113185,25,8,18.81799698,1.641309261,0.500000238,0.866025269,0.866025627,0.499999583
1555434,80963,26,9,19.2116642,2.09196806,0.866025448,0.499999881,0.866025269,-0.500000238
2034188,107260,27,10,18.96501923,-1.283830404,1,-3.58E-08,-7.15E-08,-1
1588815,84524,28,11,18.79720497,-0.884860754,0.866024971,-0.500000775,-0.866026282,-0.49999848
2169687,113201,29,12,19.16667747,1.96557045,0.499999315,-0.866025805,-0.866024613,0.500001371
2226631,117352,30,1,18.97394943,-1.005536318,-6.76E-07,-1,1.35E-06,1
2021538,108724,31,2,18.59329987,-2.006167173,-0.499999672,-0.866025567,0.866025031,0.500000656
1938074,100256,32,3,19.33125114,3.968906403,-0.866025627,-0.499999583,0.866024911,-0.500000834
2249494,111636,33,4,20.15025711,4.236698151,-1,1.32E-06,-2.63E-06,-1
2633459,125482,34,5,20.98674774,4.151260853,-0.866025269,0.500000238,-0.866025686,-0.499999553
2104870,99348,35,6,21.18683815,0.953412056,-0.499999046,0.866025984,-0.866024315,0.500001907
2387873,109096,36,7,21.88781357,3.308546543,4.77E-08,1,9.54E-08,1
2130126,97454,37,8,21.85775948,-0.13731122,0.500000775,0.866024971,0.866026282,0.49999845
2250529,100139,38,9,22.47405052,2.819550037,0.866025329,0.500000119,0.866025567,-0.499999732
2633443,118837,39,10,22.16012764,-1.396822929,1,-6.87E-07,-1.37E-06,-1
1935447,88174,40,11,21.95031357,-0.946807861,0.866025567,-0.499999672,-0.866025031,-0.500000656
2458689,111764,41,12,21.9989357,0.221514702,0.499999583,-0.866025627,-0.866024911,0.500000834
3086229.25,140974,42,1,21.89218712,-0.485241413,-1.33E-06,-1,2.65E-06,1
2593880,116650,43,2,22.23643303,1.572465897,-0.500000238,-0.866025269,0.866025686,0.499999523
2833823.75,123023,44,3,23.0349102,3.590846062,-0.866025984,-0.499999046,0.866024315,-0.500001907
3141861.5,133891,45,4,23.46581459,1.870656013,-1,5.96E-08,-1.19E-07,-1
2561790,103921,46,5,24.65132141,5.052053928,-0.866024971,0.500000775,-0.866026342,-0.49999842
2560825.75,103535,47,6,24.73391342,0.335037708,-0.500000119,0.866025329,-0.866025567,0.499999732
3170206,125369,48,7,25.28700066,2.236151695,6.99E-07,1,1.40E-06,1
2824809.75,111536,49,8,25.3264389,0.155961514,0.500001311,0.866024613,0.866026938,0.499997318
2615750.5,101434,50,9,25.78771019,1.821303368,0.866025627,0.499999583,0.866024911,-0.500000834
3410938.5,135361,51,10,25.19882774,-2.283579111,1,-1.34E-06,-2.68E-06,-1
2382087.75,93746,52,11,25.41002083,0.83810091,0.866025269,-0.500000238,-0.866025686,-0.499999523
3881706,153488,53,12,25.28996468,-0.472474098,0.499999017,-0.866025984,-0.866024256,0.500001967
3181318,129472,54,1,24.57147408,-2.84101367,-7.15E-08,-1,1.43E-07,1
3214234.25,132314,55,2,24.29247284,-1.135468483,-0.500000775,-0.866024971,0.866026342,0.499998391
3364716.75,131999,56,3,25.49047089,4.931557178,-0.866026282,-0.49999848,0.86602366,-0.50000304
4067861.25,155449,57,4,26.16846275,2.659785748,-1,7.11E-07,-1.42E-06,-1
3347171.5,123577,58,5,27.08571625,3.505182266,-0.866024613,0.500001371,-0.866026938,-0.499997288
3487412,126923,59,6,27.47659683,1.443123817,-0.499999553,0.866025627,-0.866024911,0.500000894
3947699,139908,60,7,28.21639252,2.692461014,1.35E-06,1,2.70E-06,1
3154847.25,112710,61,8,27.9908371,-0.799375772,0.500000238,0.866025269,0.866025686,0.499999493
4000562,142098,62,9,28.15354156,0.581276417,0.866025031,0.500000656,0.866026163,-0.499998689
3281757,119167,63,10,27.53914261,-2.18231678,1,-1.99E-06,-3.98E-06,-1
3543631,126970,64,11,27.90919876,1.343750954,0.866024911,-0.500000834,-0.866026342,-0.499998391
4327150,161307,65,12,26.8255558,-3.882741928,0.500000119,-0.866025329,-0.866025507,0.499999791
3665719,131052,66,1,27.97148514,4.271781445,-2.63E-06,-1,5.26E-06,1
3630714.25,123170,67,2,29.47726059,5.383253098,-0.500001371,-0.866024613,0.866026998,0.499997288
5035535.5,164225,68,3,30.66241837,4.02058363,-0.866025686,-0.499999553,0.866024911,-0.500000894
