caldt,vwretd
20000103,-0.009384545
20000104,-0.03843555
20000105,0.0008613558
20000106,-0.002833938
20000107,0.03215128
20000110,0.01133733
20000111,-0.01373855
20000112,-0.00425998
20000113,0.01288228
20000114,0.01064768
20000118,-0.006456841
20000119,0.001443756
20000120,-0.008703869
20000121,-0.002921863
20000124,-0.02721266
20000125,0.006564984
20000126,-0.005048754
20000127,-0.003726567
20000128,-0.02663906
20000131,0.02459213
20000201,0.01110016
20000202,-0.000557278
20000203,0.01211958
20000204,-0.000495334
20000207,0.0006282802
20000208,0.01137901
20000209,-0.02037231
20000210,0.003727771
20000211,-0.02060649
20000214,0.001833462
20000215,0.009353341
20000216,-0.01035186
20000217,-0.000426254
20000218,-0.03000338
20000222,0.004271972
20000223,0.007724709
20000224,-0.005720281
20000225,-0.01472805
20000228,0.01058619
20000229,0.01441446
20000301,0.009355467
20000302,0.001276631
20000303,0.02069571
20000306,-0.01265265
20000307,-0.0267126
20000308,0.008668601
20000309,0.02499184
20000310,-0.004284124
20000313,-0.00783622
20000314,-0.01802391
20000315,0.02429516
20000316,0.04730639
20000317,0.005001197
20000320,-0.005334957
20000321,0.02476937
20000322,0.005092013
20000323,0.01814176
20000324,0.0002550019
20000327,-0.002332664
20000328,-0.01087205
20000329,0.001113841
20000330,-0.01364215
20000331,0.008019551
20000403,0.002777476
20000404,-0.006242423
20000405,-0.004800339
20000406,0.008800695
20000407,0.01014163
20000410,-0.007948935
20000411,-0.002902874
20000412,-0.02167708
20000413,-0.01710092
20000414,-0.05948775
20000417,0.03265662
20000418,0.02876766
20000419,-0.009617979
20000420,0.004310912
20000424,-0.002561635
20000425,0.03449366
20000426,-0.01205696
20000427,0.002974513
20000428,-0.008434441
20000501,0.01081571
20000502,-0.01534739
20000503,-0.02091441
20000504,-0.004425048
20000505,0.01573438
20000508,-0.005775971
20000509,-0.008550341
20000510,-0.02115594
20000511,0.01971379
20000512,0.008338053
20000515,0.02193318
20000516,0.009985672
20000517,-0.01234367
20000518,-0.007533087
20000519,-0.02175977
20000522,-0.004169881
20000523,-0.02005958
20000524,0.01980823
20000525,-0.01338293
20000526,-0.001895938
20000530,0.03232091
20000531,-0.001540259
20000601,0.02040181
20000602,0.01958451
20000605,-0.006688966
20000606,-0.007085343
20000607,0.01040059
20000608,-0.007088311
20000609,-0.003273522
20000612,-0.00771547
20000613,0.01644381
20000614,0.0008629973
20000615,0.005817968
20000616,-0.009550815
20000619,0.01504064
20000620,-0.006656088
20000621,0.001948985
20000622,-0.01817098
20000623,-0.007486342
20000626,0.00976646
20000627,-0.003523068
20000628,0.003558091
20000629,-0.008721123
20000630,0.008313875
20000703,0.009984009
20000705,-0.01637306
20000706,0.008038845
20000707,0.01555893
20000710,-0.002533793
20000711,0.00355316
20000712,0.008806044
20000713,0.002209624
20000714,0.01003849
20000717,0.0004613661
20000718,-0.01098195
20000719,-0.007885857
20000720,0.009820538
20000721,-0.01078205
20000724,-0.01108053
20000725,0.008169224
20000726,-0.01479359
20000727,-0.001994986
20000728,-0.02066733
20000731,0.008141188
20000801,0.004505165
20000802,0.0004601156
20000803,0.01010529
20000804,0.007374804
20000807,0.01142478
20000808,0.003185639
20000809,-0.005994901
20000810,-0.008962596
20000811,0.008183475
20000814,0.01356207
20000815,-0.00496625
20000816,-0.00299313
20000817,0.01088788
20000818,-0.002969205
20000821,0.005122408
20000822,-0.000466487
20000823,0.005370154
20000824,0.001638417
20000825,-0.001576136
20000828,0.005446522
20000829,-0.002450051
20000830,-0.004526204
20000831,0.009966401
20000901,0.002169932
20000905,-0.008902913
20000906,-0.01009935
20000907,0.007110431
20000908,-0.005309679
20000911,-0.003532209
20000912,-0.004862693
20000913,0.002416203
20000914,-0.00266793
20000915,-0.01029168
20000918,-0.01413957
20000919,0.01061119
20000920,-0.005589819
20000921,-0.002423975
20000922,0.0008805913
20000925,-0.00686669
20000926,-0.008237887
20000927,-0.000545052
20000928,0.02178013
20000929,-0.01441018
20001002,0.0000471828
20001003,-0.007286928
20001004,0.005236849
20001005,0.002293265
20001006,-0.01900405
20001009,-0.005595699
20001010,-0.01157096
20001011,-0.01535114
20001012,-0.02653298
20001013,0.03452711
20001016,0.0005436512
20001017,-0.01792269
20001018,-0.005755171
20001019,0.03498946
20001020,0.005697827
20001023,-0.000967251
20001024,0.001810323
20001025,-0.02373647
20001026,-0.000099484
20001027,0.01114327
20001030,0.0140428
20001031,0.02207625
20001101,-0.005922847
20001102,0.005542972
20001103,-0.000828814
20001106,0.003911614
20001107,-4.829445E-6
20001108,-0.01594278
20001109,-0.006277394
20001110,-0.02483534
20001113,-0.01069553
20001114,0.02384539
20001115,0.004896861
20001116,-0.01272252
20001117,-0.00329904
20001120,-0.01817114
20001121,0.003579994
20001122,-0.01878464
20001124,0.01524866
20001127,0.005072926
20001128,-0.009738037
20001129,0.004802163
20001130,-0.02022982
20001201,0.0002228289
20001204,0.007377611
20001205,0.03954701
20001206,-0.01819039
20001207,-0.005842637
20001208,0.01984506
20001211,0.007631245
20001212,-0.006905598
20001213,-0.008307054
20001214,-0.01375698
20001215,-0.0216921
20001218,0.008271919
20001219,-0.01328861
20001220,-0.03119669
20001221,0.008036789
20001222,0.02445957
20001226,0.007011044
20001227,0.01074
20001228,0.004037124
20001229,-0.01043094
20010102,-0.02841204
20010103,0.05025319
20010104,-0.01083281
20010105,-0.02649803
20010108,-0.001743371
20010109,0.00421284
20010110,0.009430459
20010111,0.01006189
20010112,-0.006356068
20010116,0.00634237
20010117,0.002227438
20010118,0.01417713
20010119,-0.00407944
20010122,0.0002495596
20010123,0.01316469
20010124,0.002860311
20010125,-0.005010169
20010126,-0.001777855
20010129,0.006743955
20010130,0.007072876
20010131,-0.005564025
20010201,0.005641627
20010202,-0.0176151
20010205,0.003430596
20010206,-0.001314925
20010207,-0.008353427
20010208,-0.006218808
20010209,-0.01382773
20010212,0.01216494
20010213,-0.008523054
20010214,-0.001915779
20010215,0.008370866
20010216,-0.01895141
20010220,-0.01732272
20010221,-0.01847626
20010222,-0.001937361
20010223,-0.00554153
20010226,0.01756947
20010227,-0.007494609
20010228,-0.01391067
20010301,0.0009508758
20010302,-0.005883077
20010305,0.006095438
20010306,0.01018226
20010307,0.00659999
20010308,0.002198931
20010309,-0.02500301
20010312,-0.04326767
20010313,0.01549893
20010314,-0.02597309
20010315,0.005745358
20010316,-0.01958168
20010319,0.01767249
20010320,-0.02423844
20010321,-0.01776819
20010322,-0.003703056
20010323,0.01993791
20010326,0.01111537
20010327,0.02553254
20010328,-0.02425326
20010329,-0.004598321
20010330,0.01071627
20010402,-0.01255495
20010403,-0.03433599
20010404,-0.002878423
20010405,0.04395056
20010406,-0.02012845
20010409,0.007955901
20010410,0.02734995
20010411,-0.002082751
20010412,0.01512339
20010416,-0.003364696
20010417,0.01040518
20010418,0.03943165
20010419,0.01292358
20010420,-0.008767317
20010423,-0.01520382
20010424,-0.01222199
20010425,0.01605152
20010426,0.004908764
20010427,0.0150739
20010430,-0.002888808
20010501,0.013674
20010502,0.0009739433
20010503,-0.01465858
20010504,0.01448334
20010507,-0.002509736
20010508,-0.001639922
20010509,-0.004563629
20010510,-0.000068254
20010511,-0.007463129
20010514,0.002739364
20010515,0.000308251
20010516,0.02874552
20010517,0.002770228
20010518,0.002577582
20010521,0.01630915
20010522,-0.002536194
20010523,-0.01545427
20010524,0.003259226
20010525,-0.01188276
20010529,-0.007819943
20010530,-0.01545899
20010531,0.006313499
20010601,0.003933862
20010604,0.005027235
20010605,0.01307933
20010606,-0.0102518
20010607,0.005417419
20010608,-0.009406505
20010611,-0.008435652
20010612,0.001053475
20010613,-0.01113847
20010614,-0.0175722
20010615,-0.004608807
20010618,-0.0047017
20010619,0.003502887
20010620,0.008789871
20010621,0.01157385
20010622,-0.009657743
20010625,-0.005569341
20010626,-0.00151543
20010627,-0.00442951
20010628,0.01284397
20010629,-0.001876713
20010702,0.01025406
20010703,-0.001438269
20010705,-0.01237713
20010706,-0.02332534
20010709,0.00684444
20010710,-0.01417539
20010711,-0.00106258
20010712,0.02383641
20010713,0.006271573
20010716,-0.01090102
20010717,0.01010447
20010718,-0.005215115
20010719,0.00587184
20010720,-0.003575105
20010723,-0.01641754
20010724,-0.01626768
20010725,0.01590809
20010726,0.0103673
20010727,0.002470255
20010730,-0.001048899
20010731,0.005558383
20010801,0.003953371
20010802,0.004192403
20010803,-0.004965387
20010806,-0.0114281
20010807,0.003410321
20010808,-0.0172204
20010809,0.0000962189
20010810,0.005648971
20010813,0.001013491
20010814,-0.00384809
20010815,-0.007184128
20010816,0.003005391
20010817,-0.01653058
20010820,0.008181737
20010821,-0.01221653
20010822,0.007011671
20010823,-0.002916591
20010824,0.01962417
20010827,-0.004760326
20010828,-0.01504154
20010829,-0.01119307
20010830,-0.01700482
20010831,0.004176593
20010904,-0.000587529
20010905,-0.000843555
20010906,-0.02237623
20010907,-0.01855655
20010910,0.006274846
20010917,-0.04882143
20010918,-0.005660258
20010919,-0.01582128
20010920,-0.03065391
20010921,-0.0193255
20010924,0.0390909
20010925,0.008683137
20010926,-0.0047961
20010927,0.01118208
20010928,0.02177955
20011001,-0.00203768
20011002,0.01211634
20011003,0.02031816
20011004,-0.002690611
20011005,0.001939198
20011008,-0.008235992
20011009,-0.005362056
20011010,0.02280263
20011011,0.01511964
20011012,-0.005001524
20011015,-0.001162216
20011016,0.007020331
20011017,-0.01885993
20011018,-0.007235912
20011019,0.004646867
20011022,0.01531833
20011023,-0.00487811
20011024,0.0004121534
20011025,0.01386152
20011026,0.003953931
20011029,-0.0237674
20011030,-0.01716893
20011031,0.0000393384
20011101,0.02306315
20011102,0.003037889
20011105,0.01445197
20011106,0.01467782
20011107,-0.002382196
20011108,0.002336903
20011109,0.001478338
20011112,-0.001631078
20011113,0.01869747
20011114,0.002471834
20011115,0.001130063
20011116,-0.003265812
20011119,0.01084536
20011120,-0.007236183
20011121,-0.00485256
20011123,0.01167576
20011126,0.006319694
20011127,-0.006856153
20011128,-0.01802311
20011129,0.01050314
20011130,-0.000662999
20011203,-0.00846332
20011204,0.01320202
20011205,0.0226909
20011206,-0.002597815
20011207,-0.007555475
20011210,-0.01573755
20011211,-0.002868232
20011212,0.0004957962
20011213,-0.01553929
20011214,0.003272535
20011217,0.01013527
20011218,0.00770941
20011219,0.0060007
20011220,-0.008195109
20011221,0.004234923
20011224,-0.000286912
20011226,0.004121302
20011227,0.006948529
20011228,0.003305765
20011231,-0.01111616
20020102,0.005897521
20020103,0.009306176
20020104,0.006247209
20020107,-0.006476254
20020108,-0.003317644
20020109,-0.004712541
20020110,0.001232204
20020111,-0.009368204
20020114,-0.006208712
20020115,0.006757915
20020116,-0.01641524
20020117,0.01041403
20020118,-0.009909282
20020122,-0.007227254
20020123,0.007627563
20020124,0.003452288
20020125,0.001021008
20020128,-0.000206615
20020129,-0.02860597
20020130,0.01189235
20020131,0.01506076
20020201,-0.007371228
20020204,-0.02455055
20020205,-0.003882179
20020206,-0.006016441
20020207,-0.002897244
20020208,0.01495474
20020211,0.01435367
20020212,-0.003956456
20020213,0.01034012
20020214,-0.00170695
20020215,-0.01107668
20020219,-0.01881007
20020220,0.01375724
20020221,-0.01556589
20020222,0.007934413
20020225,0.01806931
20020226,2.061634E-6
20020227,0.0008903422
20020228,-0.002857989
20020301,0.022751
20020304,0.01957564
20020305,-0.006701178
20020306,0.01459786
20020307,-0.004532864
20020308,0.005946077
20020311,0.00325877
20020312,-0.002261489
20020313,-0.009668674
20020314,-0.000854123
20020315,0.01143096
20020318,-0.000649635
20020319,0.004116626
20020320,-0.01579591
20020321,0.001608409
20020322,-0.004151433
20020325,-0.01466629
20020326,0.006045632
20020327,0.005254255
20020328,0.002582984
20020401,-0.000998644
20020402,-0.008658189
20020403,-0.009776458
20020404,0.0009997443
20020405,-0.003191937
20020408,0.00252958
20020409,-0.006702148
20020410,0.01144242
20020411,-0.02370966
20020412,0.006875703
20020415,-0.007852761
20020416,0.02334497
20020417,-0.002028482
20020418,-0.001397762
20020419,0.0005386231
20020422,-0.01542207
20020423,-0.00612257
20020424,-0.007063129
20020425,-0.001516887
20020426,-0.01381821
20020429,-0.01014062
20020430,0.01084679
20020501,0.008924599
20020502,-0.001734033
20020503,-0.01045156
20020506,-0.01945052
20020507,-0.002951842
20020508,0.03778815
20020509,-0.01446028
20020510,-0.01682119
20020513,0.01867916
20020514,0.02127647
20020515,-0.005371524
20020516,0.006577715
20020517,0.007805151
20020520,-0.01318392
20020521,-0.01109117
20020522,0.005714558
20020523,0.01018794
20020524,-0.01232789
20020528,-0.008517564
20020529,-0.006336672
20020530,-0.002671762
20020531,0.002237176
20020603,-0.0249404
20020604,0.0001072079
20020605,0.009320152
20020606,-0.01982217
20020607,-0.0015416
20020610,0.003388215
20020611,-0.0168324
20020612,0.00700347
20020613,-0.0104776
20020614,-0.00205853
20020617,0.02866719
20020618,0.0009222336
20020619,-0.01643855
20020620,-0.0134991
20020621,-0.01719166
20020624,0.003660084
20020625,-0.01687965
20020626,-0.002112832
20020627,0.01758355
20020628,-0.001056224
20020701,-0.02158139
20020702,-0.02097386
20020703,0.006183226
20020705,0.03659534
20020708,-0.01193159
20020709,-0.02476719
20020710,-0.03339267
20020711,0.007640541
20020712,-0.006273077
20020715,-0.003374913
20020716,-0.01833981
20020717,0.005464798
20020718,-0.02724112
20020719,-0.03792663
20020722,-0.03284398
20020723,-0.0267597
20020724,0.0575416
20020725,-0.005820127
20020726,0.01708066
20020729,0.05430524
20020730,0.004326337
20020731,0.00992474
20020801,-0.02965795
20020802,-0.02283957
20020805,-0.03429632
20020806,0.02996603
20020807,0.02029247
20020808,0.03287747
20020809,0.00369742
20020812,-0.00518244
20020813,-0.02169539
20020814,0.04044022
20020815,0.0116565
20020816,-0.001581597
20020819,0.02368896
20020820,-0.01397993
20020821,0.01276601
20020822,0.01421951
20020823,-0.02281651
20020826,0.007714717
20020827,-0.01395406
20020828,-0.01799981
20020829,-4.058498E-6
20020830,-0.001838321
20020903,-0.04172705
20020904,0.01787085
20020905,-0.01592398
20020906,0.01680703
20020909,0.0103072
20020910,0.007354225
20020911,0.0000544427
20020912,-0.02460224
20020913,0.003242092
20020916,0.001553696
20020917,-0.01990061
20020918,-0.004469424
20020919,-0.03027176
20020920,0.00243996
20020923,-0.01382172
20020924,-0.01726576
20020925,0.02517706
20020926,0.01833599
20020927,-0.03239045
20020930,-0.0146584
20021001,0.04014241
20021002,-0.0234632
20021003,-0.0109387
20021004,-0.02235611
20021007,-0.01899839
20021008,0.01738516
20021009,-0.02732039
20021010,0.03513933
20021011,0.03918401
20021014,0.007451135
20021015,0.04730574
20021016,-0.02398135
20021017,0.02241655
20021018,0.005949725
20021021,0.0172996
20021022,-0.01055918
20021023,0.006709699
20021024,-0.015268
20021025,0.01716351
20021028,-0.008141149
20021029,-0.00889646
20021030,0.00998358
20021031,-0.005450921
20021101,0.01724122
20021104,0.008064084
20021105,0.007853411
20021106,0.009268917
20021107,-0.02265648
20021108,-0.008776216
20021111,-0.02084688
20021112,0.007819031
20021113,-0.000250844
20021114,0.02489502
20021115,0.006208938
20021118,-0.01038845
20021119,-0.003943069
20021120,0.01963294
20021121,0.02161176
20021122,-0.003657342
20021125,0.002630471
20021126,-0.02065127
20021127,0.0281538
20021129,-0.002800479
20021202,-0.001922498
20021203,-0.01458213
20021204,-0.003214218
20021205,-0.01210048
20021206,0.006232766
20021209,-0.02208811
20021210,0.01408963
20021211,0.0007613814
20021212,-0.003808519
20021213,-0.01332043
20021216,0.02353382
20021217,-0.008147125
20021218,-0.01314747
20021219,-0.007518772
20021220,0.01306847
20021223,0.001749084
20021224,-0.005506813
20021226,-0.003128784
20021227,-0.01565148
20021230,0.004605846
20021231,0.0006996403
20030102,0.03324632
20030103,-0.000366966
20030106,0.02247334
20030107,-0.006531664
20030108,-0.0138142
20030109,0.01938172
20030110,-0.000157084
20030113,-0.00129906
20030114,0.00572279
20030115,-0.01437392
20030116,-0.003916047
20030117,-0.01396983
20030121,-0.01564654
20030122,-0.01034989
20030123,0.009975437
20030124,-0.02916056
20030127,-0.01618038
20030128,0.01297441
20030129,0.006992025
20030130,-0.02255801
20030131,0.01311187
20030203,0.005461154
20030204,-0.01394286
20030205,-0.005392449
20030206,-0.006321201
20030207,-0.009932313
20030210,0.007597245
20030211,-0.008035821
20030212,-0.01222974
20030213,-0.001520284
20030214,0.02128175
20030218,0.01958068
20030219,-0.006785257
20030220,-0.009393343
20030221,0.01311194
20030224,-0.01820638
20030225,0.007138385
20030226,-0.01280073
20030227,0.01172792
20030228,0.004508858
20030303,-0.007533504
20030304,-0.01531835
20030305,0.009854747
20030306,-0.009020864
20030307,0.008278545
20030310,-0.02572802
20030311,-0.008295308
20030312,0.004762887
20030313,0.03445099
20030314,0.001537832
20030317,0.03556704
20030318,0.004349913
20030319,0.008761005
20030320,0.002011383
20030321,0.02301198
20030324,-0.03507247
20030325,0.01210995
20030326,-0.005363525
20030327,-0.001527938
20030328,-0.005694683
20030331,-0.01777969
20030401,0.01217888
20030402,0.02638428
20030403,-0.005007182
20030404,0.002644489
20030407,0.00128934
20030408,-0.001538218
20030409,-0.01395047
20030410,0.006378074
20030411,-0.003608477
20030414,0.019493
20030415,0.006464642
20030416,-0.01219036
20030417,0.01560745
20030421,-0.001818357
20030422,0.02168239
20030423,0.008705018
20030424,-0.008316235
20030425,-0.01386224
20030428,0.0180762
20030429,0.003363842
20030430,-0.000964138
20030501,-0.00045182
20030502,0.0152336
20030505,-0.003537614
20030506,0.008504017
20030507,-0.005105594
20030508,-0.009991007
20030509,0.01447858
20030512,0.01262908
20030513,-0.002763887
20030514,-0.00288283
20030515,0.007773072
20030516,-0.002361874
20030519,-0.02494285
20030520,-0.001140155
20030521,0.004003214
20030522,0.009242893
20030523,0.001543942
20030527,0.01969746
20030528,0.002053338
20030529,-0.003851202
20030530,0.01492471
20030602,0.003331603
20030603,0.004839502
20030604,0.01526541
20030605,0.004117348
20030606,-0.002471637
20030609,-0.01182505
20030610,0.009157323
20030611,0.01318325
20030612,0.0009750783
20030613,-0.01000762
20030616,0.02241293
20030617,0.001095054
20030618,-0.001437047
20030619,-0.01510378
20030620,0.001001484
20030623,-0.0142337
20030624,0.001989886
20030625,-0.008160591
20030626,0.01094883
20030627,-0.009801779
20030630,-0.001558956
20030701,0.008154302
20030702,0.01161077
20030703,-0.007890412
20030707,0.01874845
20030708,0.003560013
20030709,-0.005333826
20030710,-0.01337467
20030711,0.009603997
