DATE,SPINDX,SPRTRN
19270131,13.210000038,-0.020756116
19270228,13.840000153,0.047691144
19270331,13.930000305,0.00650289
19270430,14.170000076,0.017229002
19270531,14.909999847,0.0522230081
19270630,14.770000458,-0.009389671
19270730,15.729999542,0.0649966151
19270831,16.430000305,0.0445009544
19270930,17.13999939,0.043213632
19271031,16.229999542,-0.053092182
19271130,17.329999924,0.0677757263
19271231,17.659999847,0.0190421231
19280131,17.569999695,-0.005096263
19280229,17.260000229,-0.017643711
19280331,19.129999161,0.1083429903
19280430,19.75,0.0324098282
19280531,20,0.0126582282
19280630,19.190000534,-0.0405
19280731,19.430000305,0.0125065139
19280831,20.870000839,0.0741121992
19280929,21.370000839,0.0239578336
19281031,21.680000305,0.0145063177
19281130,24.280000687,0.1199261993
19281231,24.350000381,0.0028830313
19290131,25.739999771,0.0570841879
19290228,25.590000153,-0.005827506
19290328,25.530000687,-0.002344666
19290430,25.940000534,0.0160595383
19290531,24.829999924,-0.042791057
19290629,27.620000839,0.1123640761
19290731,28.879999161,0.0456191152
19290830,31.709999084,0.09799169
19290930,30.159999847,-0.04888048
19291031,24.149999619,-0.199270561
19291127,20.920000076,-0.133747414
19291231,21.450000763,0.0253346078
19300131,22.790000916,0.0624708608
19300228,23.280000687,0.0215006582
19300331,25.13999939,0.0798969045
19300430,24.899999619,-0.00954654
19300529,24.489999771,-0.016465863
19300630,20.459999084,-0.164556965
19300731,21.209999084,0.0366568901
19300829,21.370000839,0.0075436113
19300930,18.590000153,-0.13008891
19301031,16.940000534,-0.088757396
19301129,16.569999695,-0.021841794
19301231,15.340000153,-0.074230537
19310131,16.090000153,0.0488917865
19310228,17.930000305,0.1143567413
19310331,16.690000534,-0.069157839
19310430,15.090000153,-0.095865786
19310529,13.020000458,-0.137176946
19310630,14.829999924,0.1390168965
19310731,13.729999542,-0.074173972
19310831,13.859999657,0.009468318
19310930,9.7100000381,-0.299422801
19311031,10.529999733,0.084449023
19311130,9.5,-0.097815767
19311231,8.1199998856,-0.145263165
19320130,7.8899998665,-0.028325124
19320229,8.2899999619,0.0506970845
19320331,7.3099999428,-0.118214719
19320430,5.8299999237,-0.202462375
19320531,4.4699997902,-0.233276159
19320630,4.4299998283,-0.008948546
19320730,6.0999999046,0.3769751787
19320831,8.3900003433,0.3754098415
19320930,8.0799999237,-0.036948748
19321031,6.9600000381,-0.138613865
19321130,6.5500001907,-0.058908045
19321231,6.8899998665,0.0519083962
19330131,6.9400000572,0.0072568939
19330228,5.6599998474,-0.184438035
19330331,5.8499999046,0.0335689038
19330429,8.3199996948,0.4222222269
19330531,9.6400003433,0.1586538404
19330630,10.909999847,0.1317427456
19330731,9.9499998093,-0.087992668
19330831,11.090000153,0.1145728678
19330930,9.8299999237,-0.11361587
19331031,8.9600000381,-0.088504575
19331129,9.8800001144,0.1026785746
19331230,10.100000381,0.0222672056
19340131,11.170000076,0.1059405953
19340228,10.760000229,-0.03670546
19340331,10.75,-0.000929368
19340430,10.460000038,-0.026976744
19340531,9.6099996567,-0.081261948
19340630,9.8100004196,0.0208116546
19340731,8.6800003052,-0.115188584
19340831,9.1499996185,0.054147467
19340929,9.1000003815,-0.005464481
19341031,8.8100004196,-0.031868134
19341130,9.5399999619,0.0828603879
19341231,9.5,-0.004192872
19350131,9.1000003815,-0.042105265
19350228,8.7399997711,-0.039560441
19350330,8.470000267,-0.030892448
19350430,9.279999733,0.0956316441
19350531,9.5799999237,0.0323275849
19350629,10.229999542,0.0678496882
19350731,11.079999924,0.0830889568
19350831,11.319999695,0.0216606501
19350930,11.590000153,0.0238515902
19351031,12.460000038,0.0750647113
19351130,12.949999809,0.0393258445
19351231,13.430000305,0.0370656364
19360131,14.31000042,0.0655249432
19360229,14.550000191,0.0167714879
19360331,14.920000076,0.0254295524
19360430,13.770000458,-0.077077746
19360529,14.399999619,0.045751635
19360630,14.840000153,0.0305555556
19360731,15.850000381,0.0680593029
19360831,15.989999771,0.0088328077
19360930,16.010000229,0.0012507817
19361031,17.209999084,0.0749531537
19361130,17.280000687,0.0040674028
19361231,17.180000305,-0.005787037
19370130,17.829999924,0.0378346927
19370227,18.090000153,0.0145821646
19370331,17.920000076,-0.009397457
19370430,16.430000305,-0.083147325
19370528,16.260000229,-0.010346927
19370630,15.399999619,-0.052890528
19370731,16.979999542,0.1025974005
19370831,16.040000916,-0.055359244
19370930,13.760000229,-0.142144635
19371030,12.359999657,-0.101744182
19371130,11.109999657,-0.101132683
19371231,10.550000191,-0.05040504
19380131,10.68999958,0.0132701425
19380228,11.340000153,0.06080449
19380331,8.5,-0.250440925
19380430,9.6999998093,0.1411764771
19380531,9.2700004578,-0.044329897
19380630,11.56000042,0.247033447
19380730,12.399999619,0.0726643577
19380831,12.06000042,-0.027419355
19380930,12.239999771,0.0149253728
19381031,13.170000076,0.0759803951
19381130,12.729999542,-0.033409264
19381231,13.210000038,0.0377062075
19390131,12.300000191,-0.068887204
19390228,12.699999809,0.032520324
19390331,10.979999542,-0.135433078
19390429,10.920000076,-0.005464481
19390531,11.600000381,0.0622710623
19390630,10.859999657,-0.0637931
19390731,12.039999962,0.1086556166
19390831,11.180000305,-0.071428575
19390930,13.020000458,0.1645796001
19391031,12.829999924,-0.014592934
19391130,12.199999809,-0.049103662
19391230,12.489999771,0.0237704925
19400131,12.050000191,-0.035228182
19400229,12.130000114,0.0066390042
19400330,12.25,0.0098928278
19400430,12.18999958,-0.004897959
19400531,9.2700004578,-0.239540607
19400629,9.9799995422,0.0765911564
19400731,10.289999962,0.0310621243
19400831,10.56000042,0.0262390673
19400930,10.659999847,0.0094696973
19401031,11.079999924,0.0393996239
19401130,10.609999657,-0.042418774
19401231,10.579999924,-0.002827521
19410131,10.069999695,-0.048204158
19410228,9.9200000763,-0.01489573
19410331,9.9600000381,0.0040322579
19410430,9.3100004196,-0.065261044
19410531,9.3500003815,0.0042964555
19410630,9.8500003815,0.053475935
19410731,10.390000343,0.0548223369
19410830,10.300000191,-0.008662175
19410930,10.199999809,-0.009708738
19411031,9.5,-0.068627454
19411129,9.1000003815,-0.042105265
19411231,8.6899995804,-0.045054946
19420131,8.8100004196,0.0138089759
19420228,8.5900001526,-0.024971623
19420331,8.0100002289,-0.067520373
19420430,7.6599998474,-0.043695379
19420529,8.1499996185,0.0639686659
19420630,8.3000001907,0.0184049085
19420731,8.5600004196,0.031325303
19420831,8.6199998856,0.0070093456
19420930,8.8500003815,0.0266821347
19421031,9.4200000763,0.0644067824
19421130,9.2899999619,-0.013800425
19421231,9.7700004578,0.0516684614
19430130,10.470000267,0.0716479048
19430227,11,0.0506208204
19430331,11.579999924,0.0527272709
19430430,11.590000153,0.0008635579
19430529,12.109999657,0.0448662639
19430630,12.350000381,0.019818332
19430731,11.680000305,-0.054251011
19430831,11.800000191,0.0102739725
19430930,12.079999924,0.023728814
19431030,11.920000076,-0.013245033
19431130,11.020000458,-0.075503357
19431231,11.670000076,0.058983665
19440131,11.850000381,0.0154241649
19440229,11.819999695,-0.002531646
19440331,12.020000458,0.0169204734
19440429,11.869999886,-0.012479201
19440531,12.350000381,0.0404380783
19440630,12.979999542,0.0510121472
19440731,12.710000038,-0.020801233
19440831,12.819999695,0.0086546028
19440930,12.779999733,-0.003120125
19441031,12.779999733,0
19441130,12.829999924,0.0039123632
19441230,13.279999733,0.035074044
19450131,13.470000267,0.0143072288
19450228,14.300000191,0.0616184101
19450331,13.640000343,-0.046153847
19450430,14.840000153,0.0879765376
19450531,15.010000229,0.0114555256
19450630,14.960000038,-0.003331113
19450731,14.659999847,-0.020053476
19450831,15.510000229,0.0579808988
19450929,16.159999847,0.0419084467
19451031,16.649999619,0.0303217825
19451130,17.190000534,0.0324324332
19451231,17.36000061,0.0098894704
19460131,18.569999695,0.0697004572
19460228,17.280000687,-0.069466881
19460330,18.079999924,0.0462962948
19460430,18.760000229,0.0376106203
19460531,19.180000305,0.0223880596
19460628,18.430000305,-0.039103232
19460731,17.959999084,-0.025501899
19460830,16.649999619,-0.072939865
19460930,14.960000038,-0.101501502
19461031,14.840000153,-0.00802139
19461130,14.670000076,-0.011455526
19461231,15.300000191,0.0429447852
19470131,15.659999847,0.0235294122
19470228,15.430000305,-0.014687101
19470331,15.170000076,-0.016850291
19470430,14.579999924,-0.038892552
19470529,14.449999809,-0.008916324
19470630,15.210000038,0.0525951572
19470731,15.760000229,0.0361604206
19470829,15.319999695,-0.027918782
19470930,15.109999657,-0.013707572
19471031,15.430000305,0.0211780276
19471129,14.989999771,-0.028515879
19471231,15.300000191,0.0206804536
19480131,14.68999958,-0.039869282
19480228,14,-0.046970729
19480331,15.079999924,0.077142857
19480430,15.479999542,0.0265251994
19480528,16.690000534,0.0781653747
19480630,16.739999771,0.0029958058
19480730,15.850000381,-0.053166069
19480831,15.970000267,0.0075709778
19480930,15.489999771,-0.030056356
19481030,16.540000916,0.0677856654
19481130,14.75,-0.108222492
19481231,15.199999809,0.0305084754
19490131,15.220000267,0.0013157895
19490228,14.619999886,-0.039421812
19490331,15.06000042,0.0300957598
19490430,14.739999771,-0.021248341
19490531,14.18999958,-0.037313432
19490630,14.159999847,-0.002114165
19490729,15.039999962,0.0621468909
19490831,15.220000267,0.0119680855
19490930,15.579999924,0.0236530881
19491031,16.040000916,0.0295250323
19491130,16.059999466,0.0012468828
19491231,16.760000229,0.0435865521
19500131,17.049999237,0.0173031017
19500228,17.219999313,0.0099706743
19500331,17.290000916,0.0040650405
19500429,18.069999695,0.0451127812
19500531,18.780000687,0.0392916426
19500630,17.690000534,-0.05804047
19500731,17.840000153,0.008479367
19500831,18.420000076,0.0325112119
19500929,19.450000763,0.0559174828
19501031,19.530000687,0.0041131107
19501130,19.510000229,-0.001024066
19501230,20.409999847,0.0461301878
19510131,21.659999847,0.0612444878
19510228,21.799999237,0.0064635272
19510331,21.399999619,-0.018348623
19510430,22.430000305,0.0481308401
19510531,21.520000458,-0.040570665
19510629,20.959999084,-0.026022306
19510731,22.399999619,0.068702288
19510831,23.280000687,0.0392857157
19510928,23.260000229,-0.000859107
19511031,22.940000534,-0.013757524
19511130,22.879999161,-0.002615519
19511231,23.770000458,0.0388986021
19520131,24.13999939,0.0155658396
19520229,23.260000229,-0.036454018
19520331,24.370000839,0.0477214083
19520430,23.319999695,-0.043085761
19520529,23.86000061,0.0231560897
19520630,24.959999084,0.046102263
19520731,25.399999619,0.0176282059
19520829,25.030000687,-0.014566929
19520930,24.540000916,-0.019576509
19521031,24.520000458,-0.000814996
19521128,25.659999847,0.0464926586
19521231,26.569999695,0.0354637578
19530130,26.379999161,-0.007150922
19530227,25.899999619,-0.018195603
19530331,25.290000916,-0.023552123
19530430,24.620000839,-0.026492685
19530529,24.540000916,-0.003249391
19530630,24.13999939,-0.016299918
19530731,24.75,0.0252692625
19530831,23.319999695,-0.057777777
19530930,23.350000381,0.0012864494
19531030,24.540000916,0.0509635992
19531130,24.760000229,0.0089649549
19531231,24.809999466,0.002019386
19540129,26.079999924,0.0511890352
19540226,26.149999619,0.0026840491
19540331,26.940000534,0.0302103255
19540430,28.260000229,0.048997771
19540528,29.190000534,0.0329087041
19540630,29.209999084,0.0006851662
19540730,30.879999161,0.0571722016
19540831,29.829999924,-0.034002591
19540930,32.310001373,0.0831377804
19541029,31.680000305,-0.019498607
19541130,34.240001678,0.0808080807
19541231,35.979999542,0.0508177578
19550131,36.630001068,0.0180655923
19550228,36.759998322,0.0035490035
19550331,36.580001831,-0.004896627
19550429,37.959999084,0.0377255343
19550531,37.909999847,-0.001317176
19550630,41.029998779,0.0823001862
19550729,43.520000458,0.0606873035
19550831,43.180000305,-0.0078125
19550930,43.669998169,0.0113478461
19551031,42.340000153,-0.03045569
19551130,45.509998322,0.0748701021
19551230,45.479999542,-0.000659196
19560131,43.819999695,-0.03649956
19560229,45.340000153,0.0346873589
19560329,48.479999542,0.069254525
19560430,48.380001068,-0.002062706
19560531,45.200000763,-0.06572964
19560629,46.970001221,0.0391592905
19560731,49.38999939,0.0515222475
19560831,47.509998322,-0.038064387
19560928,45.349998474,-0.045464113
19561031,45.580001831,0.0050716647
19561130,45.080001831,-0.010969724
19561231,46.669998169,0.0352706313
19570131,44.720001221,-0.041782729
19570228,43.259998322,-0.032647584
19570329,44.11000061,0.0196486358
19570430,45.740001678,0.036953073
19570531,47.430000305,0.0369479656
19570628,47.369998932,-0.001265022
19570731,47.909999847,0.0113996202
19570830,45.220001221,-0.056146942
19570930,42.419998169,-0.061919503
19571031,41.060001373,-0.032060347
19571129,41.720001221,0.0160740372
19571231,39.990001678,-0.041466922
19580131,41.700000763,0.0427606888
19580228,40.840000153,-0.020623501
19580331,42.099998474,0.0308521055
19580430,43.439998627,0.0318289772
19580529,44.090000153,0.0149631677
19580630,45.240001678,0.0260830112
19580731,47.189998627,0.043103449
19580829,47.75,0.0118669206
19580930,50.060001373,0.0483769625
19581031,51.330001831,0.0253695566
19581128,52.479999542,0.0224040523
19581231,55.209999084,0.0520198159
19590130,55.419998169,0.0038036588
19590227,55.409999847,-0.00018044
19590331,55.439998627,0.0005414185
19590430,57.590000153,0.0387806632
19590529,58.680000305,0.0189268962
19590630,58.470001221,-0.003578732
19590731,60.509998322,0.0348896869
19590831,59.599998474,-0.015038837
19590930,56.880001068,-0.045637585
19591030,57.520000458,0.0112517579
19591130,58.279998779,0.0132127954
19591231,59.88999939,0.0276252571
19600129,55.61000061,-0.071464352
19600229,56.119998932,0.0091710128
19600331,55.340000153,-0.013898788
19600429,54.369998932,-0.017528009
19600531,55.830001831,0.0268530436
19600630,56.919998169,0.0195235536
19600729,55.509998322,-0.024771608
19600831,56.959999084,0.0261214189
19600930,53.520000458,-0.060393259
19601031,53.38999939,-0.002428998
19601130,55.540000916,0.0402697138
19601230,58.11000061,0.0462729558
19610131,61.779998779,0.0631560832
19610228,63.439998627,0.0268695373
19610330,65.059997559,0.0255359393
19610428,65.309997559,0.0038426069
19610531,66.559997559,0.0191394892
19610630,64.63999939,-0.028846154
19610731,66.760002136,0.0327970311
19610831,68.069999695,0.0196225289
19610929,66.730003357,-0.019685619
19611031,68.620002747,0.0283230934
19611130,71.319999695,0.0393471308
19611229,71.550003052,0.0032249019
19620131,68.839996338,-0.037875611
19620228,69.959999084,0.0162696112
19620330,69.550003052,-0.005860492
19620430,65.239997864,-0.061969806
19620531,59.630001068,-0.085990191
19620629,54.75,-0.081838004
19620731,58.229999542,0.0635616407
19620831,59.119998932,0.0152842179
19620928,56.270000458,-0.048207037
19621031,56.520000458,0.0044428646
19621130,62.259998322,0.1015569717
19621231,63.099998474,0.0134918084
19630131,66.199996948,0.0491283685
19630228,64.290000916,-0.028851964
19630329,66.569999695,0.0354643017
19630430,69.800003052,0.0485203527
19630531,70.800003052,0.0143266479
19630628,69.370002747,-0.02019774
19630731,69.129997253,-0.003459709
19630830,72.5,0.0487487353
19630930,71.699996948,-0.011034483
19631031,74.010002136,0.0322175734
19631129,73.230003357,-0.010539116
19631231,75.019996643,0.0244435333
19640131,77.040000916,0.0269261524
19640228,77.800003052,0.0098650055
19640331,78.980003357,0.0151670948
19640430,79.459999084,0.006077488
19640528,80.370002747,0.0114523033
19640630,81.690002441,0.0164240394
19640731,83.180000305,0.0182396863
19640831,81.830001831,-0.016229862
19640930,84.180000305,0.0287180748
19641030,84.86000061,0.0080779279
19641130,84.419998169,-0.00518501
19641231,84.75,0.0039090263
19650129,87.559997559,0.0331563428
19650226,87.430000305,-0.001484696
19650331,86.160003662,-0.014525906
19650430,89.11000061,0.0342386253
19650528,88.419998169,-0.007743238
19650630,84.120002747,-0.04863153
19650730,85.25,0.013433191
19650831,87.169998169,0.022521995
19650930,89.959999084,0.0320064239
19651029,92.419998169,0.027345486
19651130,91.61000061,-0.008764337
19651231,92.430000305,0.0089509878
19660131,92.879997253,0.0048685493
19660228,91.220001221,-0.017872524
19660331,89.230003357,-0.021815391
19660429,91.059997559,0.0205087978
19660531,86.129997253,-0.054140128
19660630,84.739997864,-0.016138395
19660729,83.599998474,-0.013452915
19660831,77.099998474,-0.077751197
19660930,76.559997559,-0.007003891
19661031,80.199996948,0.0475444086
19661130,80.449996948,0.003117207
